strat_id;date;protection;rendement;M1;C1
12;26/01/2006;100;5.55555556e-05;0;1
11;26/01/2006;95;0.0062486523198;0,35;0,65
10;26/01/2006;90;0.0071472693179;0,4;0,6
9;26/01/2006;85;0.008045886316;0,45;0,55
8;26/01/2006;80;0.0089445033141;0,5;0,5
7;26/01/2006;70;0.0107417373102;0,6;0,4
6;26/01/2006;60;0.0125389713063;0,7;0,3
5;26/01/2006;50;0.0143362053025;0,8;0,2
4;26/01/2006;40;0.0161334392986;0,9;0,1
3;26/01/2006;30;0.0177381125095;0,9893;0,0107
2;26/01/2006;20;0.0177453335389;0,9897;0,0103
1;26/01/2006;10;0.0177509498952;0,9897;0,0103
0;26/01/2006;0;0.0177958807451;0,9925;0,0075
12;27/01/2006;100;5.55555556e-05;0;1
11;27/01/2006;95;0.0007315288831;0,35;0,65
10;27/01/2006;90;0.0008419853902;0,4;0,6
9;27/01/2006;85;0.0009524418973;0,45;0,55
8;27/01/2006;80;0.0010628984044;0,5;0,5
7;27/01/2006;70;0.0012838114186;0,6;0,4
6;27/01/2006;60;0.0015047244328;0,7;0,3
5;27/01/2006;50;0.001725637447;0,8;0,2
4;27/01/2006;40;0.0019465504612;0,9;0,1
3;27/01/2006;30;0.0021437942239;0,9893;0,0107
2;27/01/2006;20;0.0021446818208;0,9897;0,0103
1;27/01/2006;10;0.002145372174;0,9897;0,0103
0;27/01/2006;0;0.0021508949993;0,9925;0,0075
12;28/01/2006;100;5.55555556e-05;0;1
11;28/01/2006;95;0.0013255636585;0,35;0,65
10;28/01/2006;90;0.0015208822764;0,4;0,6
9;28/01/2006;85;0.0017162008942;0,45;0,55
8;28/01/2006;80;0.0019115195121;0,5;0,5
7;28/01/2006;70;0.0023021567479;0,6;0,4
6;28/01/2006;60;0.0026927939836;0,7;0,3
5;28/01/2006;50;0.0030834312194;0,8;0,2
4;28/01/2006;40;0.0034740684551;0,9;0,1
3;28/01/2006;30;0.0038228517013;0,9893;0,0107
2;28/01/2006;20;0.0038244212259;0,9897;0,0103
1;28/01/2006;10;0.0038256419673;0,9897;0,0103
0;28/01/2006;0;0.0038354078982;0,9925;0,0075
12;29/01/2006;100;5.55555556e-05;0;1
11;29/01/2006;95;-0.0027607739171;0,35;0,65
10;29/01/2006;90;-0.00314921781;0,4;0,6
9;29/01/2006;85;-0.003537661703;0,45;0,55
8;29/01/2006;80;-0.0039261055959;0,5;0,5
7;29/01/2006;70;-0.0047029933817;0,6;0,4
6;29/01/2006;60;-0.0054798811676;0,7;0,3
5;29/01/2006;50;-0.0062567689534;0,8;0,2
4;29/01/2006;40;-0.0070336567392;0,9;0,1
3;29/01/2006;30;-0.007727306548;0,9893;0,0107
2;29/01/2006;20;-0.0077304279722;0,9897;0,0103
1;29/01/2006;10;-0.0077328557465;0,9897;0,0103
0;29/01/2006;0;-0.0077522779411;0,9925;0,0075
12;30/01/2006;100;0.0001666666667;0;1
11;30/01/2006;95;-0.0088884302368;0,3316;0,6684
10;30/01/2006;90;-0.010395832404;0,3886;0,6114
9;30/01/2006;85;-0.0117785703399;0,4409;0,5591
8;30/01/2006;80;-0.0131309146058;0,4921;0,5079
7;30/01/2006;70;-0.0158072731879;0,5934;0,4066
6;30/01/2006;60;-0.0184720524908;0,6942;0,3058
5;30/01/2006;50;-0.021134689142;0,795;0,205
4;30/01/2006;40;-0.0237983351752;0,8957;0,1043
3;30/01/2006;30;-0.0262703470179;0,9893;0,0107
2;30/01/2006;20;-0.0262809656155;0,9897;0,0103
1;30/01/2006;10;-0.0262892245248;0,9897;0,0103
0;30/01/2006;0;-0.0263552957988;0,9925;0,0075
12;02/02/2006;100;5.55555556e-05;0;1
11;02/02/2006;95;0.0015462596335;0,2718;0,7282
10;02/02/2006;90;0.0020072516051;0,3507;0,6493
9;02/02/2006;85;0.0023563805018;0,4104;0,5896
8;02/02/2006;80;0.0026774575337;0,4654;0,5346
7;02/02/2006;70;0.0032932157965;0,5708;0,4292
6;02/02/2006;60;0.0038982231495;0,6743;0,3257
5;02/02/2006;50;0.0045013878546;0,7776;0,2224
4;02/02/2006;40;0.0051057271475;0,881;0,119
3;02/02/2006;30;0.005713297986;0,985;0,015
2;02/02/2006;20;0.0057406265193;0,9897;0,0103
1;02/02/2006;10;0.0057424523145;0,9897;0,0103
0;02/02/2006;0;0.0057570586755;0,9925;0,0075
12;03/02/2006;100;5.55555556e-05;0;1
11;03/02/2006;95;0.0012420382513;0,2822;0,7178
10;03/02/2006;90;0.0015869938029;0,358;0,642
9;03/02/2006;85;0.0018532823574;0,4165;0,5835
8;03/02/2006;80;0.0021003128852;0,4708;0,5292
7;03/02/2006;70;0.0025764023402;0,5755;0,4245
6;03/02/2006;60;0.003045155011;0,6785;0,3215
5;03/02/2006;50;0.0035125773023;0,7813;0,2187
4;03/02/2006;40;0.0039806880215;0,8842;0,1158
3;03/02/2006;30;0.0044509358212;0,9875;0,0125
2;03/02/2006;20;0.0044607519327;0,9897;0,0103
1;03/02/2006;10;0.0044621735995;0,9897;0,0103
0;03/02/2006;0;0.0044735469335;0,9925;0,0075
12;04/02/2006;100;5.55555556e-05;0;1
11;04/02/2006;95;0.0010293753726;0,2905;0,7095
10;04/02/2006;90;0.0012994799808;0,3638;0,6362
9;04/02/2006;85;0.001511625067;0,4213;0,5787
8;04/02/2006;80;0.0017098797872;0,4751;0,5249
7;04/02/2006;70;0.0020935205906;0,5791;0,4209
6;04/02/2006;60;0.0024718957593;0,6818;0,3182
